filename,title,description,price,grades,subjects,reading_tags,themes,resource_type,cover_image,thumbnails,preview_file
001_the_octopus_that_escaped_the_tank_teacher.pdf,The Octopus That Escaped the Tank | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
002_the_man_who_hiccupped_for_68_years_teacher.pdf,The Man Who Hiccupped for 68 Years | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
003_the_woman_allergic_to_water_teacher.pdf,The Woman Allergic to Water | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
005_the_dentist_who_invented_cotton_candy_teacher.pdf,The Dentist Who Invented Cotton Candy | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
006_the_lake_that_turns_animals_to_stone_teacher.pdf,The Lake That Turns Animals to Stone | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
007_the_dog_that_rode_the_subway_alone_teacher.pdf,The Dog That Rode the Subway Alone | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
008_the_man_who_survived_two_atomic_bombs_teacher.pdf,The Man Who Survived Two Atomic Bombs | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
009_the_great_molasses_flood_of_1919_teacher.pdf,The Great Molasses Flood of 1919 | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
010_the_fungus_that_controls_ants_minds_teacher.pdf,The Fungus That Controls Ants' Minds | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
011_the_lake_that_exploded_teacher.pdf,The Lake That Exploded | Reading Passage | Grades 4-8,"This high-interest nonfiction reading passage is perfect for grades 4-8 reading comprehension practice. Engages reluctant readers with a bizarre-but-true story while building informational text skills.

Includes a 300+ word reading passage, 6 comprehension questions at DOK levels 1-4, answer key with explanations, discussion questions, and extension activities.

Works great as a bell ringer, sub plan, independent reading activity, test prep, or whenever you need engaging informational text that students will actually want to read.

What's included:
- Nonfiction reading passage (300+ words)
- 6 multiple-choice questions (DOK 1-4)
- Answer key with explanations
- 3 discussion questions
- 3 extension activities
- Teacher guide

Grade range: 4-8
Lexile: ~900L
Format: PDF, print-ready

Part of the Not Boring Reading Passages collection - high-interest nonfiction that kids actually want to read.",2.99,4-8,ela;reading,reading;close-reading;informational-text,homeschool;activities;worksheet;independent-work;bell-ringers,worksheet,,,
